agency_cd	site_no	datetime	tz_cd	151730_00060	151730_00060_cd	151733_00010	151733_00010_cd
USGS	12447200	2020-03-03 06:45	PST	2040	A	5.1	A
USGS	12447200	2020-03-03 07:00	PST	2040	A	5.1	A
USGS	12447200	2020-03-03 07:15	PST	2040	A	5.1	A
USGS	12447200	2020-03-03 07:30	PST	2040	A	5.1	A
USGS	12447200	2020-03-03 07:45	PST	2040	A	5.1	A
USGS	12447200	2020-03-03 08:00	PST	2040	A	5.1	A
USGS	12447200	2020-03-03 08:15	PST	2040	A	5.1	A
USGS	12447200	2020-03-03 08:30	PST	2040	A	5.1	A
USGS	12447200	2020-03-03 08:45	PST	2040	A	5.1	A
USGS	12447200	2020-03-03 09:00	PST	2040	A	5.0	A
USGS	12447200	2020-03-03 09:15	PST	2050	A	5.0	A
USGS	12447200	2020-03-03 09:30	PST	2050	A	5.0	A
USGS	12447200	2020-03-03 09:45	PST	2050	A	5.0	A
USGS	12447200	2020-03-03 10:00	PST	2050	A	5.0	A
USGS	12447200	2020-03-03 10:15	PST	2050	A	5.0	A
USGS	12447200	2020-03-03 10:30	PST	2050	A	5.0	A
USGS	12447200	2020-03-03 10:45	PST	2050	A	5.0	A
USGS	12447200	2020-03-03 11:00	PST	2050	A	5.0	A
USGS	12447200	2020-03-03 11:15	PST	2050	A	5.0	A
USGS	12447200	2020-03-03 11:30	PST	2050	A	5.0	A
USGS	12447200	2020-03-03 11:45	PST	2050	A	5.0	A
USGS	12447200	2020-03-03 12:00	PST	2050	A	5.0	A
USGS	12447200	2020-03-03 12:15	PST	2050	A	5.0	A
USGS	12447200	2020-03-03 12:30	PST	2050	A	5.0	A
USGS	12447200	2020-03-03 12:45	PST	2050	A	5.0	A
USGS	12447200	2020-03-03 13:00	PST	2050	A	5.1	A
USGS	12447200	2020-03-03 13:15	PST	2050	A	5.1	A
USGS	12447200	2020-03-03 13:30	PST	2050	A	5.1	A
USGS	12447200	2020-03-03 13:45	PST	2050	A	5.1	A
USGS	12447200	2020-03-03 14:00	PST	2040	A	5.1	A
USGS	12447200	2020-03-03 14:15	PST	2040	A	5.1	A
USGS	12447200	2020-03-03 14:30	PST	2040	A	5.1	A
USGS	12447200	2020-03-03 14:45	PST	2040	A	5.1	A
USGS	12447200	2020-03-03 15:00	PST	2040	A	5.1	A
USGS	12447200	2020-03-03 15:15	PST	2040	A	5.2	A
USGS	12447200	2020-03-03 15:30	PST	2040	A	5.2	A
USGS	12447200	2020-03-03 15:45	PST	2040	A	5.2	A
USGS	12447200	2020-03-03 16:00	PST	2040	A		
USGS	12447200	2020-03-03 16:15	PST	2040	A	5.2	A
USGS	12447200	2020-03-03 16:30	PST	2040	A	5.2	A
USGS	12447200	2020-03-03 16:45	PST	2050	A		
USGS	12447200	2020-03-03 17:00	PST	2050	A	5.3	A
USGS	12447200	2020-03-03 17:15	PST	2050	A	5.3	A
USGS	12447200	2020-03-03 17:30	PST	2040	A	5.3	A
USGS	12447200	2020-03-03 17:45	PST	2050	A	5.3	A
USGS	12447200	2020-03-03 18:00	PST	2050	A	5.3	A
USGS	12447200	2020-03-03 18:15	PST	2040	A	5.3	A
USGS	12447200	2020-03-03 18:30	PST	2050	A	5.3	A
USGS	12447200	2020-03-03 18:45	PST	2040	A	5.4	A
USGS	12447200	2020-03-03 19:00	PST	2040	A	5.4	A
USGS	12447200	2020-03-03 19:15	PST	2030	A	5.4	A
USGS	12447200	2020-03-03 19:30	PST	2030	A	5.4	A
USGS	12447200	2020-03-03 19:45	PST	2030	A	5.4	A
USGS	12447200	2020-03-03 20:00	PST	2030	A	5.4	A
USGS	12447200	2020-03-03 20:15	PST	2030	A	5.5	A
USGS	12447200	2020-03-03 20:30	PST	2030	A	5.5	A
USGS	12447200	2020-03-03 20:45	PST	2030	A	5.5	A
USGS	12447200	2020-03-03 21:00	PST	2030	A	5.5	A
USGS	12447200	2020-03-03 21:15	PST	2030	A	5.5	A
USGS	12447200	2020-03-03 21:30	PST	2030	A	5.5	A
USGS	12447200	2020-03-03 21:45	PST	2020	A	5.5	A
USGS	12447200	2020-03-03 22:00	PST	2020	A	5.5	A
USGS	12447200	2020-03-03 22:15	PST	2020	A	5.5	A
USGS	12447200	2020-03-03 22:30	PST	2030	A	5.5	A
USGS	12447200	2020-03-03 22:45	PST	2030	A	5.5	A
USGS	12447200	2020-03-03 23:00	PST	2030	A	5.5	A
USGS	12447200	2020-03-03 23:15	PST	2030	A	5.5	A
USGS	12447200	2020-03-03 23:30	PST	2030	A	5.6	A
USGS	12447200	2020-03-03 23:45	PST	2030	A	5.6	A
USGS	12447200	2020-03-04 00:00	PST	2030	A	5.6	A
USGS	12447200	2020-03-04 00:15	PST	2030	A	5.6	A
USGS	12447200	2020-03-04 00:30	PST	2030	A	5.6	A
USGS	12447200	2020-03-04 00:45	PST	2040	A	5.6	A
USGS	12447200	2020-03-04 01:00	PST	2040	A	5.6	A
USGS	12447200	2020-03-04 01:15	PST	2050	A	5.6	A
USGS	12447200	2020-03-04 01:30	PST	2050	A	5.6	A
USGS	12447200	2020-03-04 01:45	PST	2040	A	5.6	A
USGS	12447200	2020-03-04 02:00	PST	2040	A	5.6	A
USGS	12447200	2020-03-04 02:15	PST	2040	A	5.6	A
USGS	12447200	2020-03-04 02:30	PST	2040	A	5.6	A
USGS	12447200	2020-03-04 02:45	PST	2040	A	5.6	A
USGS	12447200	2020-03-04 03:00	PST	2030	A	5.6	A
USGS	12447200	2020-03-04 03:15	PST	2030	A	5.6	A
USGS	12447200	2020-03-04 03:30	PST	2040	A	5.6	A
USGS	12447200	2020-03-04 03:45	PST	2040	A	5.6	A
USGS	12447200	2020-03-04 04:00	PST	2040	A	5.6	A
USGS	12447200	2020-03-04 04:15	PST	2030	A	5.6	A
USGS	12447200	2020-03-04 04:30	PST	2030	A	5.6	A
USGS	12447200	2020-03-04 04:45	PST	2030	A	5.6	A
USGS	12447200	2020-03-04 05:00	PST	2030	A	5.6	A
USGS	12447200	2020-03-04 05:15	PST	2030	A	5.6	A
USGS	12447200	2020-03-04 05:30	PST	2030	A	5.6	A
USGS	12447200	2020-03-04 05:45	PST	2020	A	5.6	A
USGS	12447200	2020-03-04 06:00	PST	2020	A	5.6	A
USGS	12447200	2020-03-04 06:15	PST	2020	A	5.6	A
USGS	12447200	2020-03-04 06:30	PST	2020	A	5.6	A
USGS	12447200	2020-03-04 06:45	PST	2020	A	5.6	A
USGS	12447200	2020-03-04 07:00	PST	2020	A	5.6	A
USGS	12447200	2020-03-04 07:15	PST	2020	A	5.6	A
USGS	12447200	2020-03-04 07:30	PST	2020	A	5.6	A
USGS	12447200	2020-03-04 07:45	PST	2020	A	5.5	A
USGS	12447200	2020-03-04 08:00	PST	2030	A	5.5	A
USGS	12447200	2020-03-04 08:15	PST	2030	A	5.5	A
USGS	12447200	2020-03-04 08:30	PST	2020	A	5.5	A
USGS	12447200	2020-03-04 08:45	PST	2020	A	5.5	A
USGS	12447200	2020-03-04 09:00	PST	2020	A	5.5	A
USGS	12447200	2020-03-04 09:15	PST	2030	A	5.5	A
USGS	12447200	2020-03-04 09:30	PST	2030	A	5.5	A
USGS	12447200	2020-03-04 09:45	PST	2030	A	5.5	A
USGS	12447200	2020-03-04 10:00	PST	2030	A	5.5	A
USGS	12447200	2020-03-04 10:15	PST	2030	A	5.5	A
USGS	12447200	2020-03-04 10:30	PST	2030	A	5.5	A
USGS	12447200	2020-03-04 10:45	PST	2030	A	5.5	A
USGS	12447200	2020-03-04 11:00	PST	2030	A	5.5	A
USGS	12447200	2020-03-04 11:15	PST	2020	A	5.5	A
USGS	12447200	2020-03-04 11:30	PST	2030	A	5.5	A
USGS	12447200	2020-03-04 11:45	PST	2040	A	5.5	A
USGS	12447200	2020-03-04 12:00	PST	2030	A	5.5	A
USGS	12447200	2020-03-04 12:15	PST	2040	A	5.5	A
USGS	12447200	2020-03-04 12:30	PST	2030	A	5.5	A
USGS	12447200	2020-03-04 12:45	PST	2040	A	5.5	A
USGS	12447200	2020-03-04 13:00	PST	2040	A	5.5	A
USGS	12447200	2020-03-04 13:15	PST	2030	A	5.5	A
USGS	12447200	2020-03-04 13:30	PST	2030	A	5.5	A
USGS	12447200	2020-03-04 13:45	PST	2040	A	5.5	A
USGS	12447200	2020-03-04 14:00	PST	2040	A	5.6	A
USGS	12447200	2020-03-04 14:15	PST	2040	A	5.6	A
USGS	12447200	2020-03-04 14:30	PST	2030	A	5.6	A
USGS	12447200	2020-03-04 14:45	PST	2040	A	5.6	A
USGS	12447200	2020-03-04 15:00	PST	2050	A	5.6	A
USGS	12447200	2020-03-04 15:15	PST	2040	A	5.6	A
USGS	12447200	2020-03-04 15:30	PST	2040	A	5.6	A
USGS	12447200	2020-03-04 15:45	PST	2040	A	5.6	A
USGS	12447200	2020-03-04 16:00	PST	2050	A	5.6	A
USGS	12447200	2020-03-04 16:15	PST	2040	A	5.7	A
USGS	12447200	2020-03-04 16:30	PST	2040	A	5.7	A
USGS	12447200	2020-03-04 16:45	PST	2040	A	5.7	A
USGS	12447200	2020-03-04 17:00	PST	2040	A	5.7	A
USGS	12447200	2020-03-04 17:15	PST	2040	A	5.7	A
